"id","submitdate","lastpage","startlanguage","startdate","datestamp","Nummer","Systeem","StapApp[1_Aantal]","StapApp[2_Aantal]","StapApp[3_Aantal]","StapApp[4_Aantal]","StapApp[5_Aantal]","StapApp[6_Aantal]","StapApp[7_Aantal]","CommentApp[1]","CommentApp[2]","CommentApp[3]","CommentApp[4]","CommentApp[5]","CommentApp[6]","CommentApp[7]","StapOm[1_Aantal]","StapOm[1_Aer]","StapOm[1_Afs]","StapOm[1_Cal]","StapOm[2_Aantal]","StapOm[2_Aer]","StapOm[2_Afs]","StapOm[2_Cal]","StapOm[3_Aantal]","StapOm[3_Aer]","StapOm[3_Afs]","StapOm[3_Cal]","StapOm[4_Aantal]","StapOm[4_Aer]","StapOm[4_Afs]","StapOm[4_Cal]","StapOm[5_Aantal]","StapOm[5_Aer]","StapOm[5_Afs]","StapOm[5_Cal]","StapOm[6_Aantal]","StapOm[6_Aer]","StapOm[6_Afs]","StapOm[6_Cal]","StapOm[7_Aantal]","StapOm[7_Aer]","StapOm[7_Afs]","StapOm[7_Cal]","Dragen[1]","Dragen[2]","Dragen[3]","Dragen[4]","Dragen[5]","Dragen[6]","Dragen[7]","Reden[1]","Reden[2]","Reden[3]","Reden[4]","Reden[5]","Reden[6]","Reden[7]","Locatie[1]","Locatie[2]","Locatie[3]","Locatie[4]","Locatie[5]","Locatie[6]","Locatie[7]","DagZwa2","TijdZwa2[Uur]","TijdZwa2[Min]","DagMat2","TijdMat2[Uur]","TijdMat2[Min]","DagWan2","TijdWan2[Uur]","TijdWan2[Min]","IPAQTOT2","TijdZit2[Uur]","TijdZit2[Min]","interviewtime","groupTime186","NummerTime","groupTime187","SysteemTime","groupTime188","StapAppTime","CommentAppTime","StapOmTime","DragenTime","RedenTime","LocatieTime","groupTime189","DagZwa2Time","TijdZwa2Time","DagMat2Time","TijdMat2Time","DagWan2Time","TijdWan2Time","IPAQTOT2Time","TijdZit2Time"
"107","2019-10-16 10:45:44","4","nl","2019-10-16 10:26:59","2019-10-16 10:45:44","87.0000000000","Omron & app","7250","180","5912","145","46","7616","7034","","","","","","","","7215","0","5.4","160","7164","0","5.3","149","7635","1940","5.7","169","10459","4427","7.8","185","5619","1701","4.2","94","10001","2281","7.5","204","7503","0","5.6","153","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","broekrand","broekrand","broekrand","broekrand/jaszak","broekrand","broekrand","broekrand","1.0000000000","1.0000000000","","6.0000000000","","40.0000000000","7.0000000000","","30.0000000000","2133","7.0000000000","","1126.18","83.55","","10.86","","734.2","","","","","","","297.57","","","","","","","",""
"106","2019-10-16 10:08:41","4","nl","2019-10-16 09:58:29","2019-10-16 10:08:41","59.0000000000","Omron & app","9541","11033","19331","4205","3337","2525","12490","","","","","","","","6137","0","4.2","124","14538","0","10.2","288","6116","0","4.2","152","3709","0","2.5","27","3479","0","2.4","48","2463","0","1.7","40","12318","7108","8.6","365","Ja","Ja","Ja","Weet niet","Ja","Ja","Ja","","","","","","","","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","2.0000000000","0.0000000000","50.0000000000","1.0000000000","1.0000000000","","3.0000000000","1.0000000000","","1634","9.0000000000","","613.23","24.73","","7.19","","273.55","","","","","","","307.76","","","","","","","",""
"108","2019-10-16 10:50:01","4","nl","2019-10-16 10:34:56","2019-10-16 10:50:01","102.0000000000","Omron & app","8875","5988","12064","7258","6432","10229","9060","Niet mee bij training","Niet mee bij training","","","","Niet mee bij training","Niet mee bij training","11663","0","9.3","342","10089","1047","8.0","241","10532","2106","8.4","264","6381","0","5.1","117","5840","0","4.6","100","10035","0","8.0","234","11972","0","9.5","310","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","riem/broekrand","4.0000000000","2.0000000000","0.0000000000","7.0000000000","0.0000000000","30.0000000000","7.0000000000","0.0000000000","30.0000000000","5373","9.0000000000","0.0000000000","905.79","8.15","","4.84","","223.82","","","","","","","668.98","","","","","","","",""
"109","2019-10-16 10:55:31","4","nl","2019-10-16 10:38:11","2019-10-16 10:55:31","96.0000000000","Omron & app","16972","17711","9520","7917","9657","13929","24539","","","","","","","","15240","8106","11.5","713","18987","11571","13.3","694","10376","4409","7.8","289","8727","2352","6.6","98","6281","1176","4.7","69","11305","5210","8.5","464","22674","11706","16.4","741","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","broekrand","broekrand","broekrand","broekrand","broekrand","broekrand","broekrand","5.0000000000","2.0000000000","","3.0000000000","","45.0000000000","4.0000000000","","30.0000000000","5736","10.0000000000","","1040.77","5.98","","10.6","","722.88","","","","","","","301.31","","","","","","","",""
"110","2019-10-16 10:59:04","4","nl","2019-10-16 10:47:04","2019-10-16 10:59:04","72.0000000000","Omron & app","12124","10868","12855","8526","5090","9160","13725","","","","","","","","12034","1574","9.8","367","6150","0","5.1","125","5989","2095","4.9","161","0","0","0.0","0","0","0","0.0","0","5413","1302","4.4","146","13812","0","11.4","397","Ja","Ja","Weet niet","Nee","Nee","Weet niet","Ja","","","In Delft laten liggen, toen ik op bezoek was in Haarlem.","In Delft laten liggen, toen ik op bezoek was in Haarlem.","In Delft laten liggen, toen ik op bezoek was in Haarlem.","","","Broekzak","Broekzak","Broekzak","","","Broekzak","Broekzak","4.0000000000","1.0000000000","20.0000000000","6.0000000000","1.0000000000","","7.0000000000","2.0000000000","","6772","6.0000000000","","720.8","29.35","","7.9","","584.16","","","","","","","99.39","","","","","","","",""
"111","2019-10-16 11:11:52","4","nl","2019-10-16 11:05:34","2019-10-16 11:11:52","85.0000000000","Omron & app","10822","6616","4445","2149","2555","5263","12817","","","","","","","","10150","1921","6","343","6388","0","3.8","218","3833","0","2.2","150","1270","0","0.7","30","2153","0","1.2","18","5031","1833","3.0","177","16413","4745","9.8","645","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","Riem","Riem","Riem","Riem","Riem","Riem","Riem","3.0000000000","","","5.0000000000","","","5.0000000000","","","0","4.0000000000","","378.48","6.39","","6.06","","231.74","","","","","","","134.29","","","","","","","",""
"112","2019-10-16 11:36:31","4","nl","2019-10-16 11:30:27","2019-10-16 11:36:31","137.0000000000","Omron","","","","","","","","","","","","","","","16332","0","12.4","296","12083","0","9.1","233","9899","2235","7.5","177","3506","0","2.6","54","9853","0","7.4","203","4314","0","3.2","48","13014","0","9.8","222","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","broekzak en sok","broekzak ","broekzak ","broekzak ","broekzak en sok","broekzak ","broekzak ","2.0000000000","1.0000000000","","6.0000000000","0.0000000000","30.0000000000","2.0000000000","","10.0000000000","1746","8.0000000000","","366.29","6.78","","11.23","","218.37","","","","","","","129.91","","","","","","","",""
"113","2019-10-16 11:40:16","4","nl","2019-10-16 11:31:04","2019-10-16 11:40:16","187.0000000000","Omron & app","7797","9307","10249","4484","6702","9510","5390","","","","","","","","7496","0","5.9","167","19900","0","15.7","408","1624","0","1.2","15","4960","0","3.9","71","5533","1179","4.3","120","9197","4551","7.2","194","4416","0","3.4","86","Ja","Ja","Nee","Ja","Ja","Ja","Ja","","","'s ochtends vergeten, rond 14:00 omgedaan ","","","","","broekrand","broekzak","broekzak","broekzak","broekrand","broekrand","broekzak","1.0000000000","3.0000000000","","6.0000000000","1.0000000000","","4.0000000000","30.0000000000","","26640","10.0000000000","","553.25","7.64","","6.79","","283.43","","","","","","","255.39","","","","","","","",""
"114","2019-10-16 11:46:28","4","nl","2019-10-16 11:40:54","2019-10-16 11:46:28","1.0000000000","Omron & app","4605","1323","2597","2195","2623","512","2251","","","","","","","","9905","1915","7.2","141","4295","0","3.2","75","5266","0","3.8","82","5373","0","3.9","74","3041","0","2.2","44","2545","0","1.8","46","7395","913","5.3","102","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","","","","","","","Riem","Riem","Riem","Riem","Riem (uitgehad tijdens zwemmen)","Riem","Broekzak","2.0000000000","2.0000000000","0.0000000000","7.0000000000","1.0000000000","0.0000000000","2.0000000000","0.0000000000","15.0000000000","NAN","7.0000000000","30.0000000000","335.6","4.97","","5.12","","241.64","","","","","","","83.87","","","","","","","",""
"115","2019-10-16 11:52:38","4","nl","2019-10-16 11:43:20","2019-10-16 11:52:38","82.0000000000","Omron & app","8157","4090","5472","273","8357","5312","4737","","","","telefoon niet heel de dag bij mij gehad","","","","7959","0","6.7","196","4286","0","3.6","106","12838","6930","10.9","402","1171","0","0.9","11","7625","2988","6.4","154","4783","0","4.0","122","4846","0","4.1","113","Ja","Ja","Ja","Weet niet","Ja","Ja","Ja","","","","","","","","broekrand","broekrand","broekrand","broekrand","broekrand","broekrand","broekrand ","1.0000000000","1.0000000000","0.0000000000","6.0000000000","1.0000000000","","6.0000000000","","30.0000000000","2514","12.0000000000","","558.14","8.91","","7.32","","374.79","","","","","","","167.12","","","","","","","",""
