"","geslacht","woon","stap_om_1_aantal","stap_om_2_aantal","stap_om_3_aantal","stap_om_4_aantal","stap_om_5_aantal","stap_om_6_aantal","stap_om_7_aantal","stap_om_week_aantal","stap_om_1_10000"
"1","Vrouw","Thuiswonend",7215,7164,7635,10459,5619,10001,7503,55596,FALSE
"2","Vrouw","Thuiswonend",7215,7164,7635,10459,5619,10001,7503,55596,FALSE
"3",NA,"Uitwonend",6137,14538,6116,3709,3479,2463,12318,48760,FALSE
"4","Vrouw","Thuiswonend",11663,10089,10532,6381,5840,10035,11972,66512,TRUE
"5","Vrouw","Thuiswonend",11663,10089,10532,6381,5840,10035,11972,66512,TRUE
"6","Man","Thuiswonend",15240,18987,10376,8727,6281,11305,22674,93590,TRUE
"7","Man","Uitwonend",12034,6150,5989,0,0,5413,13812,43398,TRUE
"8","Man","Thuiswonend",10150,6388,3833,1270,2153,5031,16413,45238,TRUE
"9","Man","Uitwonend",16332,12083,9899,3506,9853,4314,13014,69001,TRUE
"10",NA,NA,7496,19900,1624,4960,5533,9197,4416,53126,FALSE
"11","Vrouw","Uitwonend",7496,19900,1624,4960,5533,9197,4416,53126,FALSE
"12","Vrouw","Uitwonend",9905,4295,5266,5373,3041,2545,7395,37820,FALSE
"13","Vrouw","Thuiswonend",7959,4286,12838,1171,7625,4783,4846,43508,FALSE
"14","Man","Uitwonend",4947,5978,15640,10779,16433,9439,4422,67638,FALSE
"15","Man","Thuiswonend",18769,16589,7969,13499,6739,4564,10398,78527,TRUE
"16",NA,NA,18769,16589,7969,13499,6739,4564,10398,78527,TRUE
"17","Vrouw","Thuiswonend",4650,3658,2883,1476,0,0,5017,17684,FALSE
"18",NA,NA,10285,4431,10584,2608,2041,6717,11853,48519,TRUE
"19","Vrouw","Uitwonend",10285,4431,10584,2608,2041,6717,11853,48519,TRUE
"20","Man","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,4915,10179,6154,5264,28,2577,6047,35164,FALSE
"22","Vrouw","Uitwonend",4915,10179,6154,5264,28,2577,6047,35164,FALSE
